"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000097033",1466.59698039591,-0.532328901805247,0.235451820675215,0.0132931639180554,0.0362506802013177,"ENSG00000097033"
"ENSG00000116171",1142.84887803672,-0.787045048041248,0.251912822586545,0.000570914633553639,0.00236129600229357,"ENSG00000116171"
"ENSG00000137936",987.100517748066,-1.75200798959468,0.510177633512807,2.82144814914453e-05,0.000156469706242693,"ENSG00000137936"
"ENSG00000228971",46.0029626166208,7.81717195634633,1.49870620327435,2.02516928804183e-08,1.82016637298586e-07,"ENSG00000228971"
"ENSG00000134215",44.6274781585652,5.97097151562545,2.41585421685371,0.000272422814296949,0.00122039404005075,"ENSG00000134215"
"ENSG00000152078",273.127104847035,-1.55445112826878,0.680524390027144,0.00148810905307349,0.00554168783825991,"ENSG00000152078"
"ENSG00000237954",758.798323642162,10.6404404692834,1.97669597135824,1.97516662001147e-09,2.03754387512455e-08,"ENSG00000237954"
"ENSG00000055732",187.095185132685,-10.4200453673557,0.792614665881746,1.18128226525767e-40,9.9330286612801e-39,"ENSG00000055732"
"ENSG00000258634",627.520830543129,0.908352748533705,0.418507069594281,0.00642787187693056,0.0196075892565368,"ENSG00000258634"
"ENSG00000137962",940.232233777777,-5.18448488532855,0.838221162663629,5.68867898353417e-11,6.93616792878604e-10,"ENSG00000137962"
"ENSG00000260464",56.1125397109417,-3.28417632367439,0.534702727423053,5.61035576115834e-11,6.85180104126168e-10,"ENSG00000260464"
"ENSG00000237435",80.773904677092,7.33959425732638,2.387510022482,5.09079062957798e-05,0.000268766169379707,"ENSG00000237435"
"ENSG00000232825",6.86038718010908,5.19335648388281,1.50893484515289,2.39424684871099e-05,0.000134316756029631,"ENSG00000232825"
"ENSG00000117154",12.6623809862068,3.83152897190158,2.75834895919255,0.00449773998071544,0.0144234223353378,"ENSG00000117154"
"ENSG00000162377",766.755061107774,0.776287897999349,0.316095490379998,0.00440581078051919,0.0141649388262189,"ENSG00000162377"
"ENSG00000224613",1.96720110568815,3.20959252041312,1.45307707786534,0.000819689713691376,0.00325178611276615,"ENSG00000224613"
"ENSG00000116774",464.787326067008,-3.33636191238221,0.630687399776311,7.68883771671211e-09,7.3203685194412e-08,"ENSG00000116774"
