"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000105971",821.228168454845,-12.1971770440936,0.748667998761021,1.83786099010657e-61,4.08672215274141e-59,"ENSG00000105971",12.1971770440936,858,"CAV2"
"ENSG00000125726",797.024003257518,-12.1715823012207,0.730415011998009,4.04725557280011e-64,1.00408731437923e-61,"ENSG00000125726",12.1715823012207,970,"CD70"
"ENSG00000065609",1370.2066034041,12.1702263475861,1.1303179405202,6.67759018791812e-29,2.90093458539962e-27,"ENSG00000065609",12.1702263475861,9892,"SNAP91"
"ENSG00000180176",5474.1779416868,12.1517783753046,2.34493305622531,7.85244304624677e-10,8.50369725127279e-09,"ENSG00000180176",12.1517783753046,7054,"TH"
"ENSG00000173917",482.021978635838,-12.1407589055527,0.754002300743341,4.28248866021685e-60,8.74530796537753e-58,"ENSG00000173917",12.1407589055527,3212,"HOXB2"
"ENSG00000176887",1658.33078271027,12.1272875385521,1.7609452109787,4.57484381948432e-14,7.50859686260797e-13,"ENSG00000176887",12.1272875385521,6664,"SOX11"
"ENSG00000102935",1446.56343277237,12.119453353326,1.22922423092681,8.35380182084124e-25,2.86597459268381e-23,"ENSG00000102935",12.119453353326,23090,"ZNF423"
"ENSG00000016082",2939.08433934925,12.1148044492286,0.972834745310158,2.14193091740931e-37,1.52006203805461e-35,"ENSG00000016082",12.1148044492286,3670,"ISL1"
"ENSG00000203930",835.17565429916,12.0913965136324,1.19836822545795,8.65651546870032e-26,3.16902363237701e-24,"ENSG00000203930",12.0913965136324,NA,"LINC00632"
"ENSG00000090530",2123.10318762389,-12.0836459651324,0.462464041598389,3.46728467015021e-152,1.15649353903599e-148,"ENSG00000090530",12.0836459651324,55214,"P3H2"
"ENSG00000102287",284.562827101694,-12.0669743331491,0.797405259917339,1.80148408194622e-53,2.65091914980115e-51,"ENSG00000102287",12.0669743331491,2564,"GABRE"
"ENSG00000152932",793.242439771403,12.0607516923898,1.16625731132208,6.8469401761856e-27,2.68326758680046e-25,"ENSG00000152932",12.0607516923898,115827,"RAB3C"
"ENSG00000087510",273.613524634643,-12.0479978132546,0.7532210670593,2.62131752076814e-59,5.10969679584017e-57,"ENSG00000087510",12.0479978132546,7022,"TFAP2C"
"ENSG00000135046",1464.67869635986,-11.8960209801011,0.660525387624621,3.72551214090059e-74,1.25658594334489e-71,"ENSG00000135046",11.8960209801011,301,"ANXA1"
"ENSG00000164761",540.685904334089,-11.8908318791061,0.822885273531236,5.39882690378498e-49,6.48269539298885e-47,"ENSG00000164761",11.8908318791061,4982,"TNFRSF11B"
"ENSG00000173320",1054.82274070677,11.874072379082,1.07225161894052,3.24283617925523e-30,1.54764227766395e-28,"ENSG00000173320",11.874072379082,56977,"STOX2"
"ENSG00000163497",2828.12498272354,11.8705331671566,0.796534603676743,7.04497269386038e-52,9.48893736698088e-50,"ENSG00000163497",11.8705331671566,54738,"FEV"
"ENSG00000116132",827.12773376627,-11.8655624751041,0.752963948703394,1.36757220398107e-57,2.47308132477757e-55,"ENSG00000116132",11.8655624751041,5396,"PRRX1"
"ENSG00000124343",312.587125242663,-11.8621404122028,0.778374140394436,4.36259257590458e-54,6.64774957035937e-52,"ENSG00000124343",11.8621404122028,100132596,"XG"
"ENSG00000166049",633.940760992347,-11.8463915026468,0.73646869108166,7.53557558027812e-60,1.52844894151601e-57,"ENSG00000166049",11.8463915026468,139135,"PASD1"
"ENSG00000112414",764.267120868066,-11.8273791473083,0.685681337088628,2.75018733907873e-68,7.78847865394381e-66,"ENSG00000112414",11.8273791473083,57211,"ADGRG6"
"ENSG00000144278",628.779342472335,11.8248062144856,1.0944535661507,6.57898206566949e-29,2.86639278126752e-27,"ENSG00000144278",11.8248062144856,114805,"GALNT13"
"ENSG00000175785",609.077290005716,11.8200340267521,1.05956134495237,1.38101696154186e-30,6.72999158579951e-29,"ENSG00000175785",11.8200340267521,145270,"PRIMA1"
"ENSG00000198681",507.999358095395,-11.764595734261,0.865333138749713,1.01777793717321e-43,9.79252432564187e-42,"ENSG00000198681",11.764595734261,4100,"MAGEA1"
"ENSG00000150938",5446.39205234588,-11.7634700728207,0.483199098439097,1.78200818470485e-132,4.11493105358884e-129,"ENSG00000150938",11.7634700728207,51232,"CRIM1"
"ENSG00000156298",799.784943616099,11.7621644211652,1.39122884940149,4.87520124466503e-19,1.14334895440312e-17,"ENSG00000156298",11.7621644211652,7102,"TSPAN7"
"ENSG00000162687",1013.43125158511,11.7135404859992,1.16074543311481,1.29317481933318e-25,4.67145787022416e-24,"ENSG00000162687",11.7135404859992,343450,"KCNT2"
"ENSG00000137726",562.53528873708,11.6840821333056,1.08182589673174,7.92106300063165e-29,3.42132935562535e-27,"ENSG00000137726",11.6840821333056,53826,"FXYD6"
"ENSG00000100342",356.005437360262,-11.6827266551996,0.790336633975654,5.08365956301903e-51,6.6932621237837e-49,"ENSG00000100342",11.6827266551996,8542,"APOL1"
"ENSG00000270069",217.529147863576,-11.6801818009445,0.806140697489419,3.75927233698607e-49,4.56880956615323e-47,"ENSG00000270069",11.6801818009445,NA,"MIR222HG"
"ENSG00000122756",2559.90904640285,11.678985173222,0.855498879418947,5.1178031319876e-44,4.98803026685505e-42,"ENSG00000122756",11.678985173222,1271,"CNTFR"
"ENSG00000150457",447.238372395086,-11.6454381062787,0.796795610379484,6.13682776244293e-50,7.74039632776363e-48,"ENSG00000150457",11.6454381062787,26524,"LATS2"
"ENSG00000229407",500.733328111285,11.5849892892955,1.02480702624289,3.24713882362006e-31,1.62730985553006e-29,"ENSG00000229407",11.5849892892955,NA,""
"ENSG00000102109",2714.38837806429,11.5714748015219,0.719148841472319,8.92275005204716e-60,1.79766465645908e-57,"ENSG00000102109",11.5714748015219,27344,"PCSK1N"
"ENSG00000156535",2278.07018920685,-11.5426650388467,0.795558766456395,3.1849229610068e-49,3.88651229131964e-47,"ENSG00000156535",11.5426650388467,135228,"CD109"
"ENSG00000112319",595.900679052807,11.5402217654898,1.26269345148817,1.4852940611843e-21,4.11319579545124e-20,"ENSG00000112319",11.5402217654898,2070,"EYA4"
"ENSG00000077080",489.264098360294,11.5311492673819,1.04461299595139,6.72828112796099e-30,3.15587923719158e-28,"ENSG00000077080",11.5311492673819,51412,"ACTL6B"
"ENSG00000166426",521.62390356134,11.5298212745005,1.12455331574329,2.98340513243874e-26,1.13079341755907e-24,"ENSG00000166426",11.5298212745005,1381,"CRABP1"
"ENSG00000088882",1910.43607385447,11.5229271126168,1.43223984980429,1.83219074248526e-17,3.90074708501171e-16,"ENSG00000088882",11.5229271126168,56265,"CPXM1"
"ENSG00000142619",238.903104386106,-11.4778044814296,0.784092829357588,5.07444801760413e-50,6.4274200439012e-48,"ENSG00000142619",11.4778044814296,51702,"PADI3"
"ENSG00000196361",4057.74379514768,11.4771786191044,0.774076149380333,3.12507752540227e-51,4.1509602758872e-49,"ENSG00000196361",11.4771786191044,1995,"ELAVL3"
"ENSG00000234068",234.512227938473,-11.4577616101969,0.775758741575702,7.42576316037412e-51,9.73423512276291e-49,"ENSG00000234068",11.4577616101969,203569,"PAGE2"
"ENSG00000143341",1197.04162861781,-11.4533472040678,0.544177871644549,8.46248311608254e-100,6.6851389647811e-97,"ENSG00000143341",11.4533472040678,83872,"HMCN1"
"ENSG00000185070",179.93881646577,-11.4513074507581,0.758096330475311,4.88581121237479e-53,6.97498978894463e-51,"ENSG00000185070",11.4513074507581,23768,"FLRT2"
"ENSG00000152954",513.770994818011,11.4460616446279,1.17674906356901,6.28095657259003e-24,2.02739822959763e-22,"ENSG00000152954",11.4460616446279,140767,"NRSN1"
"ENSG00000230316",179.66626362829,-11.4266087405862,0.786565049867664,2.69210174401813e-49,3.32568733554239e-47,"ENSG00000230316",11.4266087405862,154860,"FEZF1-AS1"
"ENSG00000147065",3579.88290699845,-11.4146581916707,0.409615917228913,2.49124550423328e-172,1.49569397583158e-168,"ENSG00000147065",11.4146581916707,4478,"MSN"
